"node","degree_centrality","betweenness_centrality","closeness_centrality","clustering_coefficient"
"0",22,0.001,1,0
"1",3,0,1,0
"7763",16,0,1,0
"2",207,0.393,0.439,0
"3",6,0,1,0
"4",35,0.004,0.461,0
"5",2,0,1,0
"6",33,0.022,0.296,0
"7",7,0,1,0
"8",1,0,1,0
"9",6,0,1,0
"10",1,0,1,0
"9570",3,0,1,0
"12",1,0,1,0
"13",4,0,1,0
"14",52,0.054,0.317,0.006
"15",9,0.01,0.206,0
"16",9,0.001,0.267,0
"17",7,0,1,0
"18",1,0,1,0
"19",3,0,1,0
"20",2,0,1,0
"21",2,0,1,0
"22",2,0.002,0.208,0
"23",7,0.01,0.236,0
"24",50,0.069,0.313,0.008
"25",1,0,1,0
"26",1,0,1,0
"27",1,0,1,0
"28",7,0,1,0
"29",3,0.003,0.235,0
"30",12,0,1,0
"31",100,0.113,0.324,0.002
"32",5,0.007,0.235,0
"33",4,0,1,0
"34",9,0.013,0.21,0
"35",62,0.059,0.312,0.005
"36",2,0,1,0
"37",3,0,1,0
"38",3,0,1,0
"39",3,0.003,0.208,0
"10739",16,0.023,0.212,0.008
"40",18,0.026,0.24,0
"41",2,0,1,0
"42",1,0,0.207,0
"43",42,0.037,0.298,0
"44",6,0,1,0
"45",1,0,1,0
"46",2,0,1,0
"47",1,0,1,0
"48",8,0.034,0.266,0.036
"49",17,0.026,0.196,0
"50",22,0.004,0.436,0
"51",1,0,1,0
"52",4,0.004,0.306,0
"53",3,0,1,0
"54",3,0,1,0
"55",45,0.043,0.301,0
"56",3,0.003,0.208,0
"57",105,0.209,0.354,0
"1490",1,0,0.512,0
"2742",1,0,0.512,0
"7265",1,0,0.512,0
"8076",1,0,0.512,0
"8844",1,0,0.512,0
"4577",1,0,0.512,0
"1099",1,0,0.512,0
"9669",1,0,0.512,0
"2535",1,0,0.512,0
"9060",1,0,0.512,0
"2260",1,0,0.512,0
"4086",1,0,0.512,0
"710",1,0,0.512,0
"10886",1,0,0.512,0
"8150",1,0,0.512,0
"2954",1,0,0.512,0
"469",1,0,0.512,0
"6012",1,0,0.512,0
"6469",1,0,0.512,0
"122",1,0,0.512,0
"9104",1,0,0.512,0
"7372",1,0,0.512,0
"8431",1,0,0.6,0
"999",1,0,0.6,0
"4827",1,0,0.6,0
"5080",1,0,0.516,0
"5363",1,0,0.516,0
"567",1,0,0.516,0
"3460",1,0,0.516,0
"3980",1,0,0.516,0
"6774",1,0,0.516,0
"4388",1,0,0.516,0
"5594",1,0,0.516,0
"1067",1,0,0.516,0
"162",1,0,0.516,0
"6937",1,0,0.516,0
"7300",1,0,0.516,0
"7498",1,0,0.516,0
"2622",1,0,0.516,0
"415",1,0,0.516,0
"10697",1,0,0.516,0
"6187",1,0,0.305,0
"10813",1,0,0.305,0
"2830",1,0,0.305,0
"9340",1,0,0.305,0
"8786",1,0,0.305,0
"5303",1,0,0.305,0
"8605",2,0.012,0.307,0
"3903",1,0,0.305,0
"6747",1,0,0.305,0
"535",1,0,0.305,0
"7477",3,0.006,0.362,0
"5722",2,0.003,0.34,0
"1265",1,0,0.305,0
"7292",1,0,0.305,0
"10139",2,0.003,0.34,0
"4080",1,0,0.305,0
